p,residue_mod_840,a,m,divisor_d,x,y,z
1009,169,3,11,9,3027,276,92828
1129,289,3,11,1,3387,308,1043196
1201,361,8,31,64,9608,312,46839
1801,121,3,11,9,5403,492,295364
2521,1,12,47,16,30252,644,1217643
2689,169,6,23,12,16134,702,943839
3049,529,11,43,1,33539,780,26160420
3361,1,25,99,125,84025,850,571370
3529,169,5,19,25,17645,930,656394
3889,529,12,47,144,46668,996,322787
4201,1,3,11,3,12603,1146,4814346
4561,361,3,11,1,13683,1244,17021652
4729,529,3,11,3,14187,1290,6100410
5209,169,6,23,3,31254,1359,14158062
5569,529,10,39,2,55690,1428,39762660
5881,1,3,11,1,17643,1604,28299372
6841,121,3,11,3,20523,1866,12765306
7561,1,5,19,5,37805,1990,15046390
7681,121,6,23,6,46086,2004,15392724
8089,529,5,19,25,40445,2130,3445914
8521,121,3,11,1,25563,2324,59408412
8689,289,3,11,3,26067,2370,20592930
8761,361,6,23,12,52566,2286,10013823
8929,529,3,11,9,26787,2436,7250348
9241,1,10,39,20,92410,2370,10950585
9601,361,6,23,9,57606,2505,16033670
9769,529,6,23,36,58614,2550,4151825
10369,289,3,11,1,31107,2828,87970596
12049,289,6,23,18,72294,3144,12627352
12289,529,5,19,1,61445,3234,198713130
12601,1,6,23,18,75606,3288,13810696
12721,121,12,47,4,152652,3248,123953424
12889,289,3,11,9,38667,3516,15105908
13441,1,3,11,3,40323,3666,49274706
13729,289,6,23,12,82374,3582,24588639
14281,1,6,23,12,85686,3726,26605503
14401,121,5,19,5,72005,3790,54579790
14449,169,10,39,5,144490,3705,107067090
15121,1,3,11,1,45363,4124,187077012
15241,121,6,23,2,91446,3976,181794648
15289,169,3,11,3,45867,4170,63755130
15649,529,3,11,1,46947,4268,200369796
16249,289,6,23,3,97494,4239,137759022
16921,121,10,39,50,169210,4340,14687428
17761,121,3,11,1,53283,4844,258102852
17929,289,3,11,3,53787,4890,87672810
18169,529,3,11,9,54507,4956,30015188
18481,1,10,39,50,184810,4740,17519988
19009,529,6,23,3,114054,4959,188531262
19441,121,10,39,5,194410,4985,193826770
19489,169,3,11,9,58467,5316,34534508
19609,289,3,11,1,58827,5348,314606796
19681,361,8,31,32,157448,5080,24994870
20161,1,10,39,20,201610,5170,52116185
20521,361,8,31,8,164168,5296,108679216
21001,1,10,39,5,210010,5385,226180770
21121,121,6,23,4,126726,5510,174565065
21169,169,8,31,32,169352,5464,28916854
21529,529,8,31,4,172232,5556,239230248
21841,1,17,67,17,371297,5542,121042822
21961,121,6,23,1,131766,5729,754887414
22129,289,3,11,9,66387,6036,44523548
22369,529,12,47,36,268428,5712,42590576
23041,361,3,11,1,69123,6284,434368932
23209,529,3,11,3,69627,6330,146912970
23689,169,5,19,1,118445,6234,738386130
24049,529,5,19,25,120245,6330,30446034
24481,121,12,47,72,293772,6252,25509202
24889,529,3,11,1,74667,6788,506839596
25321,121,3,11,3,75963,6906,174866826
25561,361,3,11,9,76683,6972,59403764
26041,1,18,71,4,468738,6602,773652069
26161,121,6,23,9,156966,6825,119032550
26209,169,3,11,1,78627,7148,562025796
26881,1,3,11,9,80643,7332,65697164
27241,361,5,19,25,136205,7170,39063594
27409,529,3,11,9,82227,7476,68303228
28081,361,5,19,5,140405,7390,207518590
28729,169,3,11,9,86187,7836,75040148
28921,361,6,23,9,173526,7545,145472630
29401,1,6,23,4,176406,7670,338258505
29569,169,22,87,242,650518,7480,20106920
29761,361,6,23,6,178566,7764,231064404
30241,1,6,23,1,181446,7889,1431427494
30529,289,5,19,1,152645,8034,1226349930
31081,1,10,39,20,310810,7970,123857785
31249,169,6,23,2,187494,8152,764225544
32089,169,10,39,2,320890,8228,1320141460
33049,289,6,23,12,198294,8622,142474239
33289,529,39,155,9,1298271,8376,1208257544
33601,1,3,11,1,100803,9164,923758692
33721,121,5,19,1,168605,8874,1496200770
33769,169,3,11,3,101307,9210,311012490
33889,289,6,23,9,203334,8841,199741766
